"","X","State","Age","Female","RaceWhite","Edu","College4Degree","MaritalStatus","LivingSituation","NumFinDepChildren","FourMoreFinDepChild","Incomecat","Income150K","IncomeApprox","Military","SpouseEmployment","SpouseMilitary","Employment","MostKnowledgeable","KnowledgeableBin","FinSat","RiskTaking","SpendingIncome","NegativeSavingBin","PositiveSavingBin","HandMouth","FinDifficulty","DifficultyBin","EmergencyFund","KidsCollege","FiguredRetirement","DropIncome","ComeUp2K","ComeUp2KBin","BudgetTimePeriod","BudgetBin","CreditRecord","RetirementWorry","LongTermPlan","CheckingAcctBin","SavingAcctBin","CheckingOverdrawBin","UsePrepaidCard","EmployerRetire","OtherRetire","HaveAnyRetire","RetireLoan","RetireHardshipWithdraw","FinInv","LaborIncomeBin","BusinessIncomeBin","OwnHome","HomeDownPmt","RetireContribute","MortgageBin","EquityLoanBin","HomeUnderWater","LateMortgage","NumCreditCards","PaidCreditCardFull","CreditCardCarry","CreditCardMinPmt","CreditCardLatePenalty","CreditCardOverLimit","CreditCardCashAdv","AutoLoanBin","UnpaidMedical","StudentLoans","FederalStudentLoans","PrivateStudentLoans","StudentLoanFigurePmts","CompleteEdu","StudentLoanLate","StudentLoanConcern","StudentLoanDoOver","DebtCollect","TooMuchDebt","TooMuchDebtBin","GoodFinance","GoodFinanceBin","GoodMath","GoodMathBin","FinancialKnow","FinancialKnowBin","FinEdu","ParentFinEdu","AnyFinEdu","QuestionM6","QuestionM6Correct","QuestionM7","QuestionM7Correct","QuestionM8","QuestionM8Correct","QuestionM9","QuestionM9Correct","QuestionM10","QuestionM10Correct","QuestionM31","QuestionM31Correct","QuizScore"
"1339",3122,"MI","Age 55-64",1,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",1,0,"At least $50,000 but less than $75,000",0,62500,0,"Full-time",0,"Not in Labor Force","Self",1,7,7,"Spending less than income",0,1,0,"Somewhat difficult",1,1,1,1,0,"Confidence yes",1,"Next few years",1,"Very good",6,6,1,1,0,"Never",1,0,1,0,0,0,1,0,1,35,1,1,0,0,"Never","2-3",1,0,0,0,0,0,1,0,1,1,0,1,NA,"Never",0,"Same actions",0,1,0,1,0,4,0,5,1,NA,1,1,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,3
"2670",10017,"NY","Age 25-34",0,0,"Graduate degree",1,"Single","Alone",0,0,"At least $75,000 but less than $100,000",0,87500,0,NA,NA,"Full-time",NA,NA,8,7,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,1,0,"Confidence yes",1,"Next few years",1,"Very good",5,7,1,1,0,"Never",1,1,1,0,0,0,1,1,0,NA,1,NA,NA,NA,NA,"2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,6,1,6,1,1,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,5
"2254",12799,"IL","Age 25-34",1,0,"Graduate degree",1,"Single","With Parnter/Spouse",0,0,"At least $35,000 but less than $50,000",0,42500,0,"Full-time",NA,"Full-time","Self and more",1,7,8,"Spending more than income",1,0,0,"Somewhat difficult",1,1,NA,0,0,"Confidence yes",1,"Next few months",1,"About Average",6,5,1,1,0,"Frequently",0,1,1,0,0,0,1,1,1,NA,1,0,0,NA,NA,"2-3",0,1,1,1,0,1,0,0,1,0,1,0,1,"Never",1,"Different actions",0,7,1,6,1,6,1,5,1,1,1,1,"Don't know",0,"More",0,"Rise",0,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,1
"7212",25031,"ND","Age 45-54",0,1,"Baccalaureate degree",1,"Single","Alone",0,0,"At least $75,000 but less than $100,000",0,87500,0,NA,NA,"Full-time",NA,NA,8,8,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,1,0,"Confidence yes",1,"Next 10+ years",1,"Very good",2,7,1,1,0,"Never",1,1,1,0,0,1,1,0,1,NA,1,0,1,0,NA,"2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,7,1,7,1,1,0,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,6
"6613",20912,"CT","Age 45-54",1,1,"Some college with no degree",0,"Divorced","Alone",1,0,"At least $50,000 but less than $75,000",0,62500,0,NA,NA,"Full-time",NA,NA,1,1,"Spending equal to income",0,0,1,"Somewhat difficult",1,0,0,0,0,"Probably no",0,"Next few years",1,"Bad",7,1,1,1,0,"Sometimes",1,0,1,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,"1",0,1,1,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,5,1,7,1,5,1,3,0,NA,0,NA,"*More*",1,"Don't know",0,"Don't know",0,"False",0,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,2
"7459",22395,"MT","Age 45-54",1,1,"Graduate degree",1,"Married","With Parnter/Spouse",0,0,"At least $100,000 but less than $150,000",0,125000,0,"Full-time",0,"Full-time","Self",1,9,2,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,1,0,"Confidence yes",1,"Next 10+ years",1,"Very good",3,7,1,1,0,"Never",1,1,1,0,0,1,1,1,1,35,1,0,0,NA,NA,"4-8",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,7,1,7,1,0,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,5
"8940",22201,"WV","Age 45-54",1,1,"Some college with no degree",0,"Married","With Parnter/Spouse",0,0,"At least $100,000 but less than $150,000",0,125000,0,"Part-time",1,"Not in Labor Force","Someone else",0,6,2,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,0,0,"Confidence yes",1,"Next few years",0,"Very good",6,3,1,1,0,"Never",1,1,1,0,0,0,1,0,1,NA,0,1,0,0,"Never","2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,5,1,5,1,5,1,4,0,0,1,1,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,4
"8675",13552,"NY","Age 35-44",1,1,"Associate's or other two year degree",0,"Married","With Parnter/Spouse",1,0,"$150,000 or more",1,150000,0,"Full-time",0,"Part-time","Self and more",1,3,7,"Spending more than income",1,0,0,"Somewhat difficult",1,0,1,0,1,"Confident no",0,"Next 5-10 years",0,"Very good",7,5,1,1,0,"Never",1,0,1,1,0,0,1,0,1,10,1,1,0,0,"Never","4-8",0,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,7,1,7,1,7,1,5,1,1,0,1,"*More*",1,"Same",0,"*Fall*",1,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,3
"8145",14499,"AR","Age 55-64",1,0,"Associate's or other two year degree",0,"Married","With Parnter/Spouse",0,0,"At least $35,000 but less than $50,000",0,42500,0,"Not in Labor Force",0,"Full-time",NA,NA,1,3,"Spending more than income",1,0,0,"Very difficult",1,0,NA,1,NA,"Confident no",0,"Next few years",0,"Very bad",1,1,0,0,NA,"Sometimes",0,0,0,NA,NA,NA,1,0,1,NA,NA,0,0,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,4,0,7,1,0,1,1,"*More*",1,"*Less*",1,"Rise",0,"Don't know",0,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,3
"5050",661,"ND","Age 65+",0,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",0,0,"At least $15,000 but less than $25,000",0,20000,1,NA,0,NA,"Self and more",1,6,5,"Spending more than income",1,0,0,"Somewhat difficult",1,1,NA,NA,1,"Confidence yes",1,"Next few years",1,"Very good",6,5,1,1,0,"Never",1,1,1,0,0,0,0,0,1,100,0,0,0,NA,NA,"4-8",1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,5,1,5,1,5,1,0,NA,NA,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,4
"8573",3080,"TX","Age 18-25",1,0,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",4,1,"At least $35,000 but less than $50,000",0,42500,0,"Full-time",0,"Not in Labor Force","Self",1,3,10,"Spending less than income",0,1,0,"Somewhat difficult",1,0,0,0,1,"Probably yes",1,"Next 5-10 years",1,"About Average",7,4,1,1,0,"Sometimes",0,0,0,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,5,1,7,1,7,1,5,1,0,0,0,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,3
"9202",20426,"AR","Age 55-64",0,1,"Some college with no degree",0,"Married","With Parnter/Spouse",0,0,"At least $50,000 but less than $75,000",0,62500,0,"Full-time",0,"Full-time","Self",1,7,7,"Spending less than income",0,1,0,"Not at all difficult",0,0,NA,1,0,"Confidence yes",1,"Next 5-10 years",1,"Very good",5,7,1,1,0,"Never",1,1,1,0,0,1,1,0,1,NA,1,0,0,NA,NA,"2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,7,1,6,1,1,1,1,"*More*",1,"*Less*",1,"Rise",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,5
"3650",23590,"ND","Age 65+",1,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",0,0,"At least $35,000 but less than $50,000",0,42500,0,NA,0,NA,"Self",1,5,1,"Spending equal to income",0,0,1,"Not at all difficult",0,1,NA,NA,0,"Confidence yes",1,"Next 5-10 years",0,"Very good",7,4,1,1,0,"Sometimes",1,1,1,0,0,1,0,0,1,NA,0,1,0,0,"Never","4-8",1,1,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,6,1,4,0,3,0,0,0,0,"*More*",1,"*Less*",1,"Don't know",0,"Don't know",0,"Don't Know",0,"Don't know",0,2
"7819",6536,"OR","Age 25-34",1,1,"Baccalaureate degree",1,"Married","With Parnter/Spouse",1,0,"At least $25,000 but less than $35,000",0,30000,0,"Full-time",0,"Not in Labor Force","Self and more",1,6,4,"Spending less than income",0,1,0,"Not at all difficult",0,1,0,0,0,"Probably yes",1,"Next few years",0,"Good",5,5,1,1,0,"Never",0,0,0,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,"1",1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,7,1,6,1,4,0,0,1,1,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,5
"4623",6988,"WA","Age 45-54",0,0,"Some college with no degree",0,"Married","With Parnter/Spouse",0,0,"At least $35,000 but less than $50,000",0,42500,0,"Full-time",0,"Full-time","Self",1,8,8,"Spending equal to income",0,0,1,"Somewhat difficult",1,1,NA,0,0,"Probably yes",1,"Next few years",0,"Good",3,6,1,1,0,"Never",1,1,1,0,0,1,1,0,1,30,1,1,0,0,"Never","2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,5,1,5,1,5,1,1,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,5
"8547",8006,"DC","Age 65+",0,1,"Graduate degree",1,"Married","With Parnter/Spouse",0,0,"At least $15,000 but less than $25,000",0,20000,0,"Unemployed",0,"Unemployed","Self and more",1,5,4,"Spending equal to income",0,0,1,"Somewhat difficult",1,0,NA,0,0,"Confident no",0,"Next few years",0,"About Average",6,4,1,0,0,"Never",0,0,0,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,"2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,4,0,6,1,5,1,0,0,0,"*More*",1,"*Less*",1,"Rise",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,5
"4355",10639,"NE","Age 25-34",0,1,"Some college with no degree",0,"Single","With Roommates",0,0,"At least $35,000 but less than $50,000",0,42500,0,NA,NA,"Full-time",NA,NA,1,1,"Spending more than income",1,0,0,"Somewhat difficult",1,0,NA,1,1,"Confident no",0,"Next 10+ years",0,"Very good",7,1,1,1,0,"Never",0,0,0,NA,NA,0,1,0,1,10,NA,1,0,1,"Never","2-3",0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,7,1,4,0,6,1,5,1,0,1,1,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,4
"5480",17629,"TN","Age 55-64",0,1,"Some college with no degree",0,"Married","With Parnter/Spouse",0,0,"At least $35,000 but less than $50,000",0,42500,1,"Not in Labor Force",0,"Full-time","Self",1,7,7,"Spending less than income",0,1,0,"Somewhat difficult",1,0,NA,1,0,"Confident no",0,"Next few months",0,"About Average",5,7,1,1,0,"Never",1,0,1,0,0,1,0,0,1,10,0,0,0,NA,NA,"1",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,7,1,7,1,6,1,1,0,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,4
"8744",14053,"NH","Age 45-54",0,1,"Baccalaureate degree",1,"Married","With Parnter/Spouse",0,0,"At least $75,000 but less than $100,000",0,87500,0,"Part-time",0,"Full-time","Self",1,7,7,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,1,0,"Confidence yes",1,"Next few years",0,"Very good",6,6,1,1,0,"Never",1,1,1,0,0,1,1,0,0,NA,1,NA,NA,NA,NA,"4-8",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,7,1,5,1,1,0,1,"*More*",1,"*Less*",1,"No relationship",0,"*True*",1,"Don't Know",0,"At least 10 yrs",0,3
"1493",1400,"AR","Age 25-34",1,1,"High school graduate or equivalent",0,"Divorced","Alone",3,0,"At least $35,000 but less than $50,000",0,42500,0,NA,NA,"Unemployed",NA,NA,4,6,"Spending less than income",0,1,0,"Very difficult",1,1,1,0,1,NA,NA,"Next few months",1,"About Average",4,5,1,0,1,"Sometimes",0,0,0,NA,NA,0,NA,0,0,NA,NA,NA,NA,NA,NA,"1",1,0,0,1,0,0,1,1,1,0,1,1,1,"Once",1,"Same actions",1,4,0,3,0,4,0,5,1,0,1,1,"*More*",1,"Same",0,"Stay same",0,"*True*",1,"*False*",1,"Less than 2 yrs",0,3
"1216",23051,"TX","Age 25-34",0,0,"High school graduate or equivalent",0,"Single","With Parents",1,0,"At least $50,000 but less than $75,000",0,62500,0,NA,NA,"Part-time",NA,NA,4,7,"Spending more than income",1,0,0,"Somewhat difficult",1,0,0,0,0,"Confidence yes",1,"Next few months",0,"Bad",1,1,1,1,1,"Never",0,0,0,NA,NA,0,0,1,1,50,NA,0,0,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,0,1,0,1,0,0,NA,1,"Different actions",0,3,0,1,0,7,1,3,0,0,0,0,"*More*",1,"More",0,"Don't know",0,"Don't know",0,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,1
"9622",26752,"HI","Age 45-54",0,1,"Graduate degree",1,"Married","With Parnter/Spouse",0,0,"At least $35,000 but less than $50,000",0,42500,0,"Not in Labor Force",0,"Not in Labor Force","Someone else",0,7,6,"Spending equal to income",0,0,1,"Not at all difficult",0,1,NA,0,0,"Confidence yes",1,"Next year",0,"Good",4,4,1,1,0,"Never",0,0,0,NA,NA,0,1,0,0,NA,NA,NA,NA,NA,NA,"2-3",1,0,0,0,0,0,0,0,1,1,0,0,1,NA,0,"Same actions",0,4,0,4,0,4,0,4,0,0,0,0,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,6
"7565",20669,"IA","Age 55-64",0,1,"Baccalaureate degree",1,"Married","With Parnter/Spouse",0,0,"At least $100,000 but less than $150,000",0,125000,0,"Full-time",0,"Full-time","Self and more",1,7,8,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,1,0,"Confidence yes",1,NA,0,"Very good",6,6,1,1,0,"Never",1,1,1,0,0,0,1,0,1,NA,1,1,0,0,"Never","4-8",1,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,0,7,1,7,1,5,1,0,0,0,"*More*",1,"*Less*",1,"Rise",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,5
"6998",3615,"DC","Age 65+",0,1,"Graduate degree",1,"Married","With Parnter/Spouse",0,0,"$150,000 or more",1,150000,0,"Full-time",0,NA,"Self and more",1,10,5,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,NA,0,"Confidence yes",1,"Next few years",0,"Very good",4,4,1,1,0,"Never",1,1,1,0,0,1,1,0,1,NA,1,0,0,NA,NA,"2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,4,0,3,0,6,1,0,1,1,"*More*",1,"*Less*",1,"Stay same",0,"*True*",1,"Don't Know",0,"At least 10 yrs",0,3
"5688",3032,"NY","Age 45-54",1,0,"High school graduate or equivalent",0,"Divorced","Alone",0,0,"At least $25,000 but less than $35,000",0,30000,0,NA,NA,NA,NA,NA,9,8,"Spending equal to income",0,0,1,"Not at all difficult",0,1,NA,NA,0,"Probably yes",1,"Next year",1,"About Average",6,7,NA,NA,NA,"Never",0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,6,1,6,1,0,1,1,"*More*",1,"Same",0,"No relationship",0,"False",0,"True",0,"At least 5 yrs and less than 10 yrs",0,1
"9603",25016,"TX","Age 25-34",0,0,"Baccalaureate degree",1,"Married","With Parnter/Spouse",1,0,"At least $100,000 but less than $150,000",0,125000,0,"Full-time",0,"Unemployed","Self and more",1,7,3,"Spending less than income",0,1,0,"Not at all difficult",0,1,0,0,1,"Probably yes",1,"Next year",1,"Very good",4,6,1,1,0,"Never",1,0,1,0,0,0,1,0,1,10,1,1,0,0,"Never","2-3",0,1,1,NA,0,0,0,0,1,1,1,0,0,"Never",1,"Different actions",0,6,1,4,0,6,1,6,1,1,0,1,"*More*",1,"*Less*",1,"Rise",0,"*True*",1,"*False*",1,"At least 5 yrs and less than 10 yrs",0,4
"8595",2234,"SD","Age 35-44",1,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",4,1,"At least $50,000 but less than $75,000",0,62500,0,"Full-time",0,"Not in Labor Force","Someone else",0,NA,1,NA,NA,NA,NA,"Somewhat difficult",1,0,0,0,0,"Confident no",0,NA,0,NA,4,4,1,1,1,"Never",0,0,0,NA,NA,0,1,0,1,NA,NA,0,0,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,1,1,1,1,0,NA,"Never",NA,NA,0,7,1,4,0,5,1,4,0,0,NA,NA,"*More*",1,"Don't know",0,"Don't know",0,"Don't know",0,"Don't Know",0,"Don't know",0,1
"5463",7275,"NY","Age 25-34",1,0,"Some college with no degree",0,"Single","With Parnter/Spouse",2,0,"At least $100,000 but less than $150,000",0,125000,0,"Self employed",NA,"Full-time","Self and more",1,6,3,"Spending less than income",0,1,0,"Not at all difficult",0,1,1,0,0,"Probably yes",1,"Next 5-10 years",0,"Good",5,6,1,1,0,"Sometimes",1,0,1,0,0,1,1,1,1,50,1,1,0,0,"Never","2-3",1,0,0,0,0,1,0,0,1,1,0,0,0,"More than once",0,"Different actions",0,2,0,6,1,3,0,5,1,0,0,0,"*More*",1,"Don't know",0,"Don't know",0,"*True*",1,"True",0,"At least 5 yrs and less than 10 yrs",0,2
"9772",10120,"MD","Age 35-44",0,0,"Graduate degree",1,"Married","With Parnter/Spouse",3,0,"At least $35,000 but less than $50,000",0,42500,NA,"Full-time",NA,"Full-time","Self",1,3,10,"Spending more than income",1,0,0,"Very difficult",1,0,0,1,1,"Confident no",0,"Next few months",1,"Good",6,7,1,1,0,"Never",1,0,1,NA,NA,1,1,0,0,NA,NA,NA,NA,NA,NA,"4-8",0,1,0,0,0,1,0,0,1,0,1,1,1,"More than once",0,"Different actions",0,6,1,6,1,7,1,6,1,0,0,0,"*More*",1,"*Less*",1,"Rise",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,5
"3973",18820,"HI","Age 65+",0,1,"Graduate degree",1,"Widowed","Alone",0,0,"At least $50,000 but less than $75,000",0,62500,0,NA,NA,NA,NA,NA,7,7,"Spending equal to income",0,0,1,"Not at all difficult",0,1,NA,NA,0,"Confidence yes",1,"Next 10+ years",1,"Very good",6,5,1,1,0,"Never",1,1,1,0,0,1,0,0,1,75,0,1,0,0,"Never","2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,6,1,6,1,6,1,0,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,4
"6241",4007,"NY","Age 65+",1,1,"Some college with no degree",0,"Divorced","Alone",0,0,"At least $15,000 but less than $25,000",0,20000,0,NA,NA,NA,NA,NA,2,1,"Spending less than income",0,1,0,"Somewhat difficult",1,0,NA,NA,0,"Confident no",0,"Next few months",1,"Very good",7,2,1,1,0,"Never",1,0,1,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"4-8",NA,1,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,5,1,7,1,6,1,5,1,1,1,1,"*More*",1,"Don't know",0,"Don't know",0,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,2
"3556",631,"NY","Age 45-54",0,1,"Some college with no degree",0,"Divorced","Alone",0,0,"Less than $15,000",0,7500,0,NA,NA,"Self employed",NA,NA,7,6,NA,NA,NA,NA,"Somewhat difficult",1,NA,NA,1,NA,NA,NA,NA,0,"Very good",4,5,1,1,0,"Never",0,0,0,NA,NA,0,NA,NA,0,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,0,4,0,5,1,4,0,5,1,NA,NA,NA,"*More*",1,NA,NA,"Stay same",0,"Don't know",0,NA,NA,"Don't know",0,NA
"5230",24005,"VA","Age 65+",1,1,"High school graduate or equivalent",0,"Married","With Parnter/Spouse",0,0,"At least $100,000 but less than $150,000",0,125000,0,"Self employed",1,"Self employed","Self and more",1,9,6,"Spending equal to income",0,0,1,"Not at all difficult",0,1,NA,0,0,"Confidence yes",1,"Next 5-10 years",1,"Very good",1,7,1,1,0,"Never",0,1,1,0,0,1,0,0,1,NA,0,0,1,0,NA,"4-8",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,7,1,7,1,1,1,1,"*More*",1,"Same",0,"Rise",0,"*True*",1,"True",0,"Don't know",0,2
"9177",7304,"TN","Age 45-54",1,0,"High school graduate or equivalent",0,"Single","With Roommates",1,0,"At least $35,000 but less than $50,000",0,42500,0,NA,NA,"Full-time",NA,NA,4,5,"Spending equal to income",0,0,1,"Not at all difficult",0,0,0,1,0,"Confidence yes",1,"Next 10+ years",0,"About Average",4,5,1,1,0,"Never",1,0,1,0,0,0,1,0,1,NA,1,0,0,NA,NA,"1",0,1,1,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,6,1,5,1,5,1,5,1,NA,0,NA,"Less",0,"*Less*",1,"No relationship",0,"*True*",1,"Don't Know",0,"At least 10 yrs",0,2
"2174",22968,"MS","Age 65+",0,1,"Some college with no degree",0,"Widowed","Alone",0,0,"At least $50,000 but less than $75,000",0,62500,1,NA,NA,NA,NA,NA,10,1,"Spending less than income",0,1,0,"Not at all difficult",0,1,NA,NA,0,"Confidence yes",1,"Next year",1,"Very good",1,7,1,1,0,"Never",1,0,1,NA,NA,1,0,0,1,NA,NA,0,0,NA,NA,"4-8",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,1,0,1,0,7,1,0,0,0,"*More*",1,"*Less*",1,"Rise",0,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,5
"6096",17290,"MI","Age 45-54",0,1,"Some college with no degree",0,"Single","Alone",1,0,"Less than $15,000",0,7500,1,NA,NA,NA,NA,NA,10,7,"Spending equal to income",0,0,1,"Very difficult",1,0,0,NA,0,"Confident no",0,"Next 5-10 years",1,"Very bad",7,4,1,1,1,"Never",0,0,0,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,1,1,1,0,0,0,"More than once",1,"Different actions",1,7,1,6,1,7,1,6,1,0,0,0,"*More*",1,"*Less*",1,"No relationship",0,"*True*",1,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,3
"1168",8966,"NJ","Age 35-44",1,0,"Graduate degree",1,"Married","With Parnter/Spouse",1,0,"$150,000 or more",1,150000,0,"Full-time",0,"Full-time","Self",1,8,8,"Spending less than income",0,1,0,"Not at all difficult",0,1,1,0,0,"Confidence yes",1,"Next 10+ years",1,"Very good",5,7,1,1,0,"Never",1,1,1,0,0,1,1,0,1,20,1,1,0,0,"Never","2-3",1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,1,0,7,1,7,1,5,1,1,1,1,"*More*",1,"*Less*",1,"*Fall*",1,"*True*",1,"*False*",1,"*At least 2 yrs and less than 5 yrs*",1,6
"6290",22066,"SD","Age 35-44",0,1,"High school graduate or equivalent",0,"Married","With Parents",4,1,"$150,000 or more",1,150000,1,"Full-time",1,"Full-time","Someone else",0,9,9,"Spending less than income",0,1,0,"Somewhat difficult",1,1,1,1,1,NA,NA,"Next few years",1,"About Average",7,7,0,0,NA,"Sometimes",0,0,0,NA,NA,NA,0,1,1,80,NA,1,0,1,"Once","9-12",1,0,1,0,0,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,1,7,1,7,1,7,1,7,1,1,1,1,"Less",0,"*Less*",1,"*Fall*",1,"False",0,"Don't Know",0,"At least 5 yrs and less than 10 yrs",0,2
"9457",23441,"TN","Age 25-34",0,1,"High school graduate or equivalent",0,"Single","With Parents",0,0,"Less than $15,000",0,7500,0,NA,NA,"Part-time",NA,NA,3,2,"Spending more than income",1,0,0,"Somewhat difficult",1,0,NA,0,0,"Confident no",0,"Next year",0,"Very bad",1,5,0,0,NA,"Never",0,0,0,NA,NA,NA,1,0,0,NA,NA,NA,NA,NA,NA,"0",NA,NA,NA,NA,NA,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,6,1,6,1,4,0,4,0,0,0,0,"*More*",1,"*Less*",1,"Don't know",0,"*True*",1,"Don't Know",0,"*At least 2 yrs and less than 5 yrs*",1,4
