Company,Bar_Name,REF,Review_Date,Cocoa_Percent,Company_Location,Rating,Bean_Type,Broad_Bean_Origin
Rogue,"Sambirano, 2008",213,2008,70%,U.S.A.,2.75,Trinitario,Madagascar
Rozsavolgyi,"Sambirano, Akesson Estate",871,2012,72%,Hungary,2.5,Trinitario,Madagascar
S.A.I.D.,Malgascio,607,2010,64%,Italy,3.5,Trinitario,Madagascar
Sirene,"Somia Plantation, 2012",1502,2015,100%,Canada,3,Trinitario,Madagascar
Sirene,"Somia Plantation, 2012",1339,2014,67%,Canada,3.75,Trinitario,Madagascar
Sirene,"Somia Plantation, 2012",1339,2014,73%,Canada,3.75,Trinitario,Madagascar
"Smooth Chocolator, The",Akesson's Estate,1618,2015,65%,Australia,3.25,Trinitario,Madagascar
"Smooth Chocolator, The",Akesson's Estate,1622,2015,70%,Australia,3.5,Trinitario,Madagascar
Snake & Butterfly,Madagascar,502,2010,68%,U.S.A.,3,Trinitario,Madagascar
Sol Cacao,Madagascar,1518,2015,72%,U.S.A.,3,Trinitario,Madagascar
Solstice,Sambirano,1157,2013,70%,U.S.A.,3,Trinitario,Madagascar
Soma,"Sambirano Valley, Black Science, B-60307.0",1820,2016,70%,Canada,3.5,Trinitario,Madagascar
Starchild,Sambirano Valley,1696,2015,70%,U.S.A.,3,Trinitario,Madagascar
Sublime Origins,Sambirano,1157,2013,67%,U.S.A.,2.75,Trinitario,Madagascar
Szanto Tibor,Ambolikapiky,1704,2015,70%,Hungary,3.25,Trinitario,Madagascar
Terroir,Madagascar,1478,2015,70%,U.S.A.,3.75,Trinitario,Madagascar
Terroir,Madagascar,1323,2014,67%,U.S.A.,3.75,Trinitario,Madagascar
Theo,Madagascar,162,2007,65%,U.S.A.,3.5,Trinitario,Madagascar
twenty-four blackbirds,Madagascar,1235,2014,75%,U.S.A.,3.5,Trinitario,Madagascar
Upchurch,"Madagascar, Sassy Bar",1752,2016,72%,U.S.A.,3,Trinitario,Madagascar
Valrhona,"Sambirano, Ampamakia 2005, Millot P.",75,2006,64%,France,3.5,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,72%,Madagascar,2.75,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,76%,Madagascar,2.75,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,80%,Madagascar,2.75,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,70%,Madagascar,3,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar w/ nibs,404,2009,68%,Madagascar,3,Trinitario,Madagascar
Vao Vao (Chocolaterie Robert),Madagascar,404,2009,64%,Madagascar,3.25,Trinitario,Madagascar
Violet Sky,Sambirano Valley,1458,2015,77%,U.S.A.,2.75,Trinitario,Madagascar
Willie's Cacao,Sambirano,593,2010,71%,U.K.,3,Trinitario,Madagascar
Woodblock,Sambirano,951,2012,70%,U.S.A.,3.25,Trinitario,Madagascar
Zak's,"Madagascar, Batch 2",1578,2015,70%,U.S.A.,3.25,Trinitario,Madagascar
Choco Dong,"Tawau, Oct. 2015 Harvest",1696,2015,70%,South Korea,3.5,Trinitario,Malaysia
Ah Cacao,Tabasco,316,2009,70%,Mexico,3,Criollo,Mexico
Bonnat,"Porcelana, Tabasco, Marfil de Blanco",336,2009,75%,France,3,Criollo,Mexico
Bonnat,"Xoconusco, cacao Real",395,2009,75%,France,3,Criollo,Mexico
Cacao Sampaka,"Porcelana, Tabasco, La Joya",336,2009,70%,Spain,4,Criollo,Mexico
Cacao Sampaka,"Xoconusco, Chiapas",346,2009,70%,Spain,4,Criollo,Mexico
Chocolats Privilege,Xoconusco,1219,2014,70%,Canada,2.5,Criollo,Mexico
Chocovic,Xoconusco,478,2010,71%,Spain,3.25,Criollo,Mexico
Choklat,"Porcelana, Tabasco",377,2009,70%,Canada,2.75,Criollo,Mexico
Coppeneur,"Porcelana, Tabasco, Mexico",220,2008,72%,Germany,3,Criollo,Mexico
Pierre Marcolini,"Porcelana, Tabasco, Finca La Joya",445,2009,72%,Belgium,3,Criollo,Mexico
Pierre Marcolini,"Porcelana, Tabasco, Limited Ed.",81,2006,72%,Belgium,4,Criollo,Mexico
Quetzalli (Wolter),"Mexico, Lot 28022016",1796,2016,70%,Mexico,2.75,Criollo,Mexico
Askinosie,Xoconusco,141,2007,75%,U.S.A.,2.5,Trinitario,Mexico
Chocovivo,Tabasco,1522,2015,65%,U.S.A.,2.5,Trinitario,Mexico
Chocovivo,Tabasco,1522,2015,75%,U.S.A.,2.5,Trinitario,Mexico
Quetzalli (Wolter),"Uranga, Lot 22032016",1800,2016,74%,Mexico,3,Trinitario,Mexico
Duffy's,"Chuno, Xoco",1331,2014,70%,U.K.,3.5,Criollo,Nicaragua
Duffy's,"Rico Rugoso, Xoco",1331,2014,76%,U.K.,3.75,Criollo,Nicaragua
Duffy's,"Nicaliso, Xoco",697,2011,71%,U.K.,3.25,Criollo,Nicaragua
Na�ve,Nicaragua,1379,2014,70%,Lithuania,3.25,Criollo,Nicaragua
Castronovo,Nicaragua,1109,2013,72%,U.S.A.,3.25,Trinitario,Nicaragua
Hummingbird,Momotombo,1311,2014,70%,Canada,3,Trinitario,Nicaragua
L'Amourette,Rugoso,1784,2016,80%,U.S.A.,3.5,Trinitario,Nicaragua
organicfair,Nicaraqua,1165,2013,72%,Canada,2.75,Trinitario,Nicaragua
Pitch Dark,Nicalizo,1510,2015,80%,U.S.A.,2.75,Trinitario,Nicaragua
Soma,"Chuno, San Jose de Bocay, Pantasma R.,B.S.",1828,2016,70%,Canada,3.75,Trinitario,Nicaragua
Soma,La Dalia,1307,2014,70%,Canada,3.25,Trinitario,Nicaragua
Neuhaus (Callebaut),Papua New Guinea,531,2010,70%,Belgium,2.5,Criollo,Papua New Guinea
Cravve,New Ireland,1283,2014,70%,Australia,2.5,Forastero,Papua New Guinea
Cravve,Djual Island,975,2012,75%,Australia,3.5,Forastero,Papua New Guinea
Shark Mountain,Papua New Guinea,1450,2015,73%,U.S.A.,3.5,Forastero,Papua New Guinea
Captain Pembleton,"Saidor Estate, Madang P.",1263,2014,70%,New Zealand,3.5,Trinitario,Papua New Guinea
Fresco,"Markham Valley, #220, MR, MC",927,2012,69%,U.S.A.,4,Trinitario,Papua New Guinea
Fresco,"Markham Valley, #222, LR, 0C",931,2012,69%,U.S.A.,3,Trinitario,Papua New Guinea
Matale,"Kulili P., 2013",1177,2013,74%,Australia,4,Trinitario,Papua New Guinea
Pralus,Papouasie,199,2008,75%,France,3,Trinitario,Papua New Guinea
Soma,Papua New Guinea,983,2012,85%,Canada,3.5,Trinitario,Papua New Guinea
Soma,Papua New Guinea,387,2009,70%,Canada,3.5,Trinitario,Papua New Guinea
Zokoko,Tokiala,701,2011,66%,Australia,3.5,Trinitario,Papua New Guinea
Acalli,"Tumbes, Norandino",1470,2015,70%,U.S.A.,3.75,Criollo,Peru
Artisan du Chocolat,Peru,363,2009,75%,U.K.,3,Criollo,Peru
Bonnat,"Porcelana, Apotequil",336,2009,75%,France,2.75,Criollo,Peru
Cacao Atlanta,Tumbes,1215,2014,75%,U.S.A.,2.5,Criollo,Peru
Castronovo,San Martin,1105,2013,70%,U.S.A.,2.5,Criollo,Peru
Castronovo,Tumbes,1153,2013,70%,U.S.A.,2.75,Criollo,Peru
Chocolarder,Peru,1482,2015,65%,U.K.,2.5,Criollo,Peru
Chocolarder,Peru + nibs,1482,2015,65%,U.K.,2.75,Criollo,Peru
Chocolate Makers,"Peru, Awagum bar",1530,2015,80%,Amsterdam,3.75,Criollo,Peru
"Chocolate Tree, The",Peru,919,2012,68%,Scotland,2.75,Criollo,Peru
Coppeneur,"Porcelana, Apotequil",341,2009,72%,Germany,3,Criollo,Peru
Coppeneur,"Porcelana, Apotequil",445,2009,62%,Germany,3.25,Criollo,Peru
Emily's,Peru,1454,2015,78%,Japan,3.5,Criollo,Peru
Forever Cacao,Rio Eni,1267,2014,72%,U.K.,2.75,Criollo,Peru
French Broad,Tumbes Coop,883,2012,70%,U.S.A.,2.5,Criollo,Peru
Hogarth,Gran Blanco,1712,2016,66%,New Zealand,3.5,Criollo,Peru
iQ Chocolate,"Satipo region, white label",943,2012,72%,Scotland,2.75,Criollo,Peru
La Chocolaterie Nanairo,"Tumbes, 2013 Harvest, Batch 8",1892,2016,70%,Japan,3,Criollo,Peru
Lillie Belle,Perfect Illusion,855,2012,65%,U.S.A.,3.5,Criollo,Peru
Map Chocolate,"Tumbes, Dear Mr. Finley, 2014",1606,2015,68%,U.S.A.,3.5,Criollo,Peru
Maverick,Tumbes,1430,2014,82%,U.S.A.,3.25,Criollo,Peru
Maverick,"Morropon, Norandiono Coop, Piura",1430,2014,63%,U.S.A.,3.5,Criollo,Peru
Nibble,Tumbes,1526,2015,72%,U.S.A.,3,Criollo,Peru
Obolo,Pangoa,1638,2015,70%,Chile,3.75,Criollo,Peru
Obolo,"Pangoa, w/ nibs",1638,2015,70%,Chile,3.75,Criollo,Peru
Ocelot,Piura,1558,2015,75%,Scotland,4,Criollo,Peru
Original Beans (Felchlin),"Piura, Apotequil, ""Porcelana"" 72hr c.",341,2009,75%,Switzerland,3,Criollo,Peru
Pierre Marcolini,"Peru, Las Pampas P.",531,2010,85%,Belgium,3,Criollo,Peru
Pomm (aka Dead Dog),Peru,829,2012,82%,U.S.A.,2.75,Criollo,Peru
Ranger,"Tumbes, Batch 2",1562,2015,73%,U.S.A.,3.5,Criollo,Peru
Raoul Boulanger,Piura,1872,2016,75%,France,3.25,Criollo,Peru
Shattell,Porcelana,757,2011,75%,Peru,3.5,Criollo,Peru
Soma,"Apurimac, El Quinacho Co-op",1073,2013,70%,Canada,2.75,Criollo,Peru
Two Ravens,Peru,1740,2016,60%,U.S.A.,3,Criollo,Peru
Wilkie's Organic,Amazonas,1169,2013,75%,Ireland,2.5,Criollo,Peru
Wilkie's Organic,Amazonas,1169,2013,89%,Ireland,2.75,Criollo,Peru
Wilkie's Organic,Tumbes,1169,2013,75%,Ireland,3.25,Criollo,Peru
Wilkie's Organic,Amazonas w/ nibs,1173,2013,75%,Ireland,2.75,Criollo,Peru
Amazona,"Bellavista Gran Pajeten, San Martin",1145,2013,73%,Peru,3.5,Trinitario,Peru
Domori,Apurimac,87,2006,70%,Italy,3.25,Trinitario,Peru
Fresco,"Bellavista Coop, #225, LR, MC, CG Exclusive",1149,2013,70%,U.S.A.,4,Trinitario,Peru
L'Amourette,Blend,853,2012,72%,U.S.A.,3,Criollo,"Peru, Ecuador, Venezuela"
Askinosie,Davao,331,2009,77%,U.S.A.,3.75,Trinitario,Philippines
Malagos,"Davao, Mt. Talamo foothills",1121,2013,65%,Philippines,3.5,Trinitario,Philippines
Matale,Blend,1181,2013,70%,Australia,3.75,Trinitario,"PNG, Vanuatu, Mad"
Rozsavolgyi,Principe,765,2011,77%,Hungary,2.75,Forastero,Principe
C-Amaro,Sao Tome,749,2011,78%,Italy,2.25,Forastero,Sao Tome
Hotel Chocolat (Coppeneur),Uba Budo,300,2008,72%,U.K.,3,Forastero,Sao Tome
Laia aka Chat-Noir,"Sao Tome, Batch 151",1638,2015,75%,France,3.5,Forastero,Sao Tome
Michel Cluizel,Vila Gracinda,135,2007,67%,France,3.5,Forastero,Sao Tome
Michel Cluizel,Tamarina,24,2006,70%,France,3,Forastero,Sao Tome
Neuhaus (Callebaut),Sao Tome,15,2006,75%,Belgium,2.75,Forastero,Sao Tome
Habitual,Trinitario,1197,2014,70%,Canada,3.5,Trinitario, 
Pralus,Claudio Corallo w/ nibs,162,2007,75%,France,4,Forastero,Sao Tome
Santome,Sao Tome,761,2011,70%,France,2.75,Forastero,Sao Tome
Silvio Bessone,"Trintade, Sao Tome",725,2011,65%,Italy,3.25,Forastero,Sao Tome
Claudio Corallo,Terreiro Velho P.,470,2010,73.50%,Sao Tome,3.75,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P. w/ sugar crystals,209,2008,80%,Sao Tome,3,Forastero,Sao Tome & Principe
Claudio Corallo,Terreiro Velho P.,227,2008,75%,Sao Tome,4,Forastero,Sao Tome & Principe
Claudio Corallo,Principe,252,2008,100%,Sao Tome,1,Forastero,Sao Tome & Principe
Coppeneur,Uba Budo,821,2012,72%,Germany,3.75,Forastero,Sao Tome & Principe
Enric Rovira (Claudio Corallo),Terreiro Velho P.,565,2010,80%,Spain,3.25,Forastero,Sao Tome & Principe
Pralus,Sao Tome & Principe,5,2006,75%,France,3.5,Forastero,Sao Tome & Principe
Metropolitan,South America,1688,2015,70%,Amsterdam,3.5,Trinitario,South America
Hotel Chocolat,"Marcial, single Cote, 2012",1030,2013,70%,U.K.,4,Trinitario,St. Lucia
Hotel Chocolat,"Island Growers, 2012, 120hr c.",1113,2013,100%,U.K.,1.75,Trinitario,St. Lucia
Hotel Chocolat (Coppeneur),"Island Growers, 120hr c.",623,2011,65%,U.K.,3,Trinitario,St. Lucia
Hotel Chocolat (Coppeneur),"Island Growers, 96hr c.",623,2011,65%,U.K.,3.25,Trinitario,St. Lucia
Tan Ban Skrati,"Paramaribo, batch 20160043-01",1868,2016,70%,Suriname,3.25,Trinitario,Suriname
Pralus,Tanzania,105,2006,75%,France,3.5,Criollo,Tanzania
Alexandre,"Makwale Village, Kyela",1944,2017,70%,Netherlands,3.5,Forastero,Tanzania
Cravve,"Tanzania, batch a1",971,2012,75%,Australia,3.25,Forastero,Tanzania
Askinosie,Mababa,1780,2016,68%,U.S.A.,3.75,Trinitario,Tanzania
Askinosie,"Tenende, Uwate",647,2011,72%,U.S.A.,3.75,Trinitario,Tanzania
Fossa,"Kokoa Kamili Coop, Kilombero",1776,2016,67%,Singapore,3.75,Trinitario,Tanzania
Omnom,"Kakao Kamili, Kilombero Valley",1816,2016,70%,Iceland,3.75,Trinitario,Tanzania
Tobago Estate (Pralus),"Roxborough, Tobago",895,2012,70%,France,4,Trinitario,Tobago
Alain Ducasse,Trinite,1215,2014,65%,France,2.75,Trinitario,Trinidad
Amedei,Trinidad,129,2007,70%,Italy,3.5,Trinitario,Trinidad
Arete,San Juan,1724,2016,70%,U.S.A.,3.5,Trinitario,Trinidad
Artisan du Chocolat,"Trinidad, Heritage, Limited ed.",1193,2013,72%,U.K.,3.25,Trinitario,Trinidad
Bright,Gran Couva,1235,2014,68%,Australia,2.75,Trinitario,Trinidad
Burnt Fork Bend,Trinidad,1299,2014,72%,U.S.A.,3.25,Trinitario,Trinidad
C-Amaro,Trinidad,765,2011,70%,Italy,2.5,Trinitario,Trinidad
Coppeneur,Trinidad,558,2010,72%,Germany,3,Trinitario,Trinidad
Damson,Robson Estate,1610,2015,70%,U.K.,3,Trinitario,Trinidad
Ethel's Artisan (Mars),Trinidad,666,2011,55%,U.S.A.,2.5,Trinitario,Trinidad
Fruition,Gran Couva,1347,2014,70%,U.S.A.,3.75,Trinitario,Trinidad
Guittard,Trinidad,552,2010,65%,U.S.A.,3,Trinitario,Trinidad
Holy Cacao,Gran Couva,1466,2015,70%,Israel,3.5,Trinitario,Trinidad
Hotel Chocolat (Coppeneur),Trinidad,1038,2013,75%,U.K.,3,Trinitario,Trinidad
Letterpress,"San Juan Estate, Gran Couva",1562,2015,70%,U.S.A.,3.5,Trinitario,Trinidad
Map Chocolate,"San Juan Estate, Cherry Blossoms at Night",1606,2015,70%,U.S.A.,2.75,Trinitario,Trinidad
Middlebury,San Juan Estate,1490,2015,70%,U.S.A.,3.5,Trinitario,Trinidad
Neuhaus (Callebaut),Manickchand Estate,230,2008,67%,Belgium,3.75,Trinitario,Trinidad
Ohiyo,"San Juan Estate, Gran Couva",1594,2015,70%,U.S.A.,2.75,Trinitario,Trinidad
Palette de Bine,"San Juan Estate, Gran Couva",1570,2015,70%,Canada,3.25,Trinitario,Trinidad
Palette de Bine,Gran Couva,1399,2014,70%,Canada,3.75,Trinitario,Trinidad
Pierre Marcolini,Trinite,478,2010,75%,Belgium,3.25,Trinitario,Trinidad
Pralus,Trinidad,5,2006,75%,France,3.5,Trinitario,Trinidad
Ritual,Gran Couva,979,2012,75%,U.S.A.,3.5,Trinitario,Trinidad
Rogue,Trinidad,213,2008,70%,U.S.A.,3,Trinitario,Trinidad
"Smooth Chocolator, The",San Juan Estate,1622,2015,70%,Australia,3.75,Trinitario,Trinidad
Soma,"Sangre Grande P., Trinidad",1073,2013,70%,Canada,3.75,Trinitario,Trinidad
Tablette (aka Vanillabeans),Trinidad,1680,2015,77%,Japan,2.75,Trinitario,Trinidad
Valrhona,Gran Couva 2005 P.,75,2006,64%,France,2.5,Trinitario,Trinidad
Videri,Trinidad,1211,2014,75%,U.S.A.,3.5,Trinitario,Trinidad
Woodblock,Gran Couva,1042,2013,70%,U.S.A.,3.5,Trinitario,Trinidad
Zart Pralinen,San Juan Estate,1824,2016,85%,Austria,2.75,Trinitario,Trinidad
Zart Pralinen,"San Juan Estate, Gran Couva",1880,2016,78%,Austria,3.5,Trinitario,Trinidad
Chaleur B,Uganda,1426,2014,70%,Canada,2.75,Forastero,Uganda
De Villiers,Bundibugyo District,1832,2016,70%,South Africa,2.5,Forastero,Uganda
hello cocoa,Uganda,1458,2015,57%,U.S.A.,2.75,Forastero,Uganda
Hotel Chocolat (Coppeneur),Uganda,296,2008,80%,U.K.,2.5,Forastero,Uganda
Kyya,Uganda,1359,2014,72.50%,U.S.A.,2.5,Forastero,Uganda
Terroir,Uganda,1323,2014,73%,U.S.A.,3.75,Forastero,Uganda
Cravve,"Vanuatu, batch 2410",1335,2014,83%,Australia,2.75,Trinitario,Vanuatu
Cravve,Vanuatu,975,2012,64%,Australia,3.25,Trinitario,Vanuatu
Kakao,Vanuatu,387,2009,65%,Germany,3.75,Trinitario,Vanuatu
Matale,"Malekula P., 2013",1177,2013,72%,Australia,3.5,Trinitario,Vanuatu
Pralus,Vanuatu,40,2006,75%,France,3,Trinitario,Vanuatu
Spencer,Malekula Island,1434,2014,72%,Australia,2.75,Trinitario,Vanuatu
A. Morin,Carenero,1315,2014,70%,France,2.75,Criollo,Venezuela
A. Morin,Sur del Lago,1315,2014,70%,France,3.5,Criollo,Venezuela
A. Morin,Puerto Cabello,1319,2014,70%,France,3.75,Criollo,Venezuela
Amano,Ocumare,175,2007,70%,U.S.A.,3.75,Criollo,Venezuela
Benoit Nihant,Chuao,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
Benoit Nihant,Cuyagua Village,1141,2013,74%,Belgium,3.5,Criollo,Venezuela
Beschle (Felchlin),Maracaibo,636,2011,88%,Switzerland,3,Criollo,Venezuela
Bittersweet Origins,"Ocumare, prototype",565,2010,78%,U.S.A.,3,Criollo,Venezuela
Bonnat,"Maracaibo, El Rosario",48,2006,75%,France,4,Criollo,Venezuela
Brasstown aka It's Chocolate,"Guasare, Zulia Prov.",1868,2016,70%,U.S.A.,3.5,Criollo,Venezuela
Cao,Porcelana,1804,2016,75%,U.S.A.,2.5,Criollo,Venezuela
Cao,"Porcelana, Batch 5163",1804,2016,70%,U.S.A.,3,Criollo,Venezuela
ChocoReko,Patanemo,1454,2015,77%,Japan,3,Criollo,Venezuela
Chocovic,Ocumare,209,2008,71%,Spain,3.5,Criollo,Venezuela
Choklat,Ocumare,377,2009,80%,Canada,2.5,Criollo,Venezuela
Choklat,Ocumare,377,2009,70%,Canada,3,Criollo,Venezuela
Chuao Chocolatier,Choroni,445,2009,61%,U.S.A.,3,Criollo,Venezuela
Compania de Chocolate (Salgado),Ocumare,292,2008,70%,Argentina,3.75,Criollo,Venezuela
Dick Taylor,Mantuano,682,2011,75%,U.S.A.,2.75,Criollo,Venezuela
Domori,"IL100, H. San Jose",1109,2013,100%,Italy,3,Criollo,Venezuela
Domori,Guasare,863,2012,70%,Italy,3.75,Criollo,Venezuela
Domori,"Canoabo, Hacienda San Jose",693,2011,70%,Italy,3.5,Criollo,Venezuela
Edelmond,Porcelana,1876,2016,68%,Germany,3,Criollo,Venezuela
El Rey,"Carenero Superior, Apamate",206,2008,74%,Venezuela,2.5,Criollo,Venezuela
El Rey,"Carenero Superior, Bucare",206,2008,58%,Venezuela,2.5,Criollo,Venezuela
El Rey,"Carenero Superior, Mijao",206,2008,61%,Venezuela,3,Criollo,Venezuela
El Rey,"Carenero Superior, Gran Saman",32,2006,70%,Venezuela,2.75,Criollo,Venezuela
Escazu,Carenero Superior,423,2009,81%,U.S.A.,3.5,Criollo,Venezuela
Escazu,Ocumare,252,2008,72%,U.S.A.,3,Criollo,Venezuela
Felchlin,Maracaibo Clasificado,48,2006,65%,Switzerland,3,Criollo,Venezuela
Fresco,"Carenero Superior, #203, MR, SC",370,2009,65%,U.S.A.,3.5,Criollo,Venezuela
hello cocoa,Venezuela,1462,2015,74%,U.S.A.,3.5,Criollo,Venezuela
Idilio (Felchlin),Coopertiva Amazona,725,2011,72%,Switzerland,3.75,Criollo,Venezuela
Idilio (Felchlin),"Choroni, Finca Torres, 48hr c.",729,2011,72%,Switzerland,3.25,Criollo,Venezuela
Idilio (Felchlin),"Ocumare, H. Cata, 48hr c.",733,2011,72%,Switzerland,3.75,Criollo,Venezuela
Idilio (Felchlin),"Porcelana, Zulia",733,2011,74%,Switzerland,4,Criollo,Venezuela
Idilio (Felchlin),"Ocumare, H. Cata, w/ nibs",737,2011,72%,Switzerland,3.5,Criollo,Venezuela
Idilio (Felchlin),Coopertiva Amazona w/ nibs,737,2011,72%,Switzerland,4,Criollo,Venezuela
Manufaktura Czekolady,Porcelana,1255,2014,70%,Poland,3.75,Criollo,Venezuela
Mast Brothers,Patanemo,572,2010,81%,U.S.A.,2.75,Criollo,Venezuela
Neuhaus (Callebaut),Ocumare,24,2006,71%,Belgium,3,Criollo,Venezuela
Nibble,Patanemo,1526,2015,72%,U.S.A.,2.25,Criollo,Venezuela
Nuance,"Canoabo, 2013",1458,2015,70%,U.S.A.,3,Criollo,Venezuela
Pierre Marcolini,Chuao,478,2010,75%,Belgium,3,Criollo,Venezuela
Pierre Marcolini,"Ocumare, Puerto Cabello, Venezuela",93,2006,72%,Belgium,4,Criollo,Venezuela
Rogue,Porcelana,1209,2014,80%,U.S.A.,3.75,Criollo,Venezuela
Rozsavolgyi,Carenero Superior,713,2011,73%,Hungary,3.5,Criollo,Venezuela
Shark Mountain,Cuyagua,1466,2015,77%,U.S.A.,2.75,Criollo,Venezuela
"Smooth Chocolator, The","Guasare, La Sierra de Perija, batch gua001",1740,2016,70%,Australia,3.75,Criollo,Venezuela
Soma,CSB Chama,1594,2015,70%,Canada,3.5,Criollo,Venezuela
Soma,Patanemo,1077,2013,70%,Canada,3.75,Criollo,Venezuela
Soma,"Maracaibo, El Vigia",1077,2013,70%,Canada,4,Criollo,Venezuela
Soma,Chuao,688,2011,70%,Canada,3.5,Criollo,Venezuela
Soma,Ocumare,387,2009,70%,Canada,3.75,Criollo,Venezuela
Szanto Tibor,Porcelana,1263,2014,70%,Hungary,3.5,Criollo,Venezuela
Valrhona,"Porcelana, Pedegral",757,2011,64%,France,4,Criollo,Venezuela
Violet Sky,Cuyagua,1458,2015,77%,U.S.A.,3,Criollo,Venezuela
Wm,"Guasare, Zulia Prov., 2015, batch 124",1912,2016,74%,U.S.A.,3,Criollo,Venezuela
Hummingbird,Amazonas,1097,2013,70%,Canada,3.75,Forastero,Venezuela
Soma,Orinoco,1173,2013,70%,Canada,3.25,Forastero,Venezuela
A. Morin,Chuao,1015,2013,70%,France,4,Trinitario,Venezuela
Alain Ducasse,Chuao,1061,2013,75%,France,2.5,Trinitario,Venezuela
Amano,Chuao,544,2010,70%,U.S.A.,3,Trinitario,Venezuela
Amedei,Chuao,111,2007,70%,Italy,5,Trinitario,Venezuela
Beschle (Felchlin),"Carenero S., Barlovento, Grand Cru",508,2010,70%,Switzerland,3.25,Trinitario,Venezuela
Black Mountain,Carenero Superior,256,2008,70%,U.S.A.,2.75,Trinitario,Venezuela
Bonnat,Chuao,81,2006,75%,France,4,Trinitario,Venezuela
Brasstown aka It's Chocolate,Chuao,1355,2014,70%,U.S.A.,4,Trinitario,Venezuela
Brasstown aka It's Chocolate,"Chuao, Mantuano blend",1129,2013,85%,U.S.A.,3.5,Trinitario,Venezuela
Cacao de Origen,Chuao,1688,2015,77%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,Rio Caribe,1692,2015,75%,Venezuela,3.25,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",1391,2014,75%,Venezuela,3.5,Trinitario,Venezuela
Cacao de Origen,"Chuao, Aragua region",1395,2014,70%,Venezuela,3.75,Trinitario,Venezuela
"Chocolate Tree, The",Carenero Superior,1582,2015,80%,Scotland,3.75,Trinitario,Venezuela
Chuao Chocolatier (Pralus),Chuao,486,2010,77%,U.S.A.,2.75,Trinitario,Venezuela
Compania de Chocolate (Salgado),Carenero Superior,292,2008,80%,Argentina,2.75,Trinitario,Venezuela
Coppeneur,Chuao,478,2010,70%,Germany,3,Trinitario,Venezuela
Danta,Chuao,987,2012,75%,Guatemala,3,Trinitario,Venezuela
Doble & Bignall,"Puerto Cabello, Mantuano",1371,2014,72%,U.K.,3.25,Trinitario,Venezuela
Domori,"Chuao, Hacienda San Jose",470,2010,70%,Italy,3,Trinitario,Venezuela
Domori,"Carupano, H. San Jose",227,2008,70%,Italy,3,Trinitario,Venezuela
Domori,Granella,135,2007,60%,Italy,3.25,Trinitario,Venezuela
Domori,Sur del Lago Classificado,87,2006,70%,Italy,3,Trinitario,Venezuela
Domori,Carenero Superior,87,2006,70%,Italy,3.5,Trinitario,Venezuela
Dormouse,"Rio Caribe, Batch 7",1672,2015,70%,U.K.,2.5,Trinitario,Venezuela
Durci,"Rio Caribe, Tepui Treasure",1626,2015,70%,U.S.A.,3.5,Trinitario,Venezuela
Durci,"Carenero, Empyrean Sabor",1630,2015,70%,U.S.A.,3.25,Trinitario,Venezuela
El Rey,"Rio Caribe, Cariaco",439,2009,60.50%,Venezuela,2.75,Trinitario,Venezuela
El Rey,"Rio Caribe, Macuro",439,2009,70%,Venezuela,3,Trinitario,Venezuela
Escazu,Rio Caribe,903,2012,70%,U.S.A.,2.75,Trinitario,Venezuela
Fresco,"Chuao, #218, MR, MC",745,2011,76%,U.S.A.,3.25,Trinitario,Venezuela
Fresco,"Chuao, #217, DR, MC",745,2011,70%,U.S.A.,4,Trinitario,Venezuela
Hogarth,Carenero Superior,1712,2016,72%,New Zealand,2.75,Trinitario,Venezuela
Hotel Chocolat (Coppeneur),Chuao,600,2010,70%,U.K.,2.75,Trinitario,Venezuela
Idilio (Felchlin),"Chuao, Venezuela",1085,2013,72%,Switzerland,3.75,Trinitario,Venezuela
Idilio (Felchlin),"Carenero Superior, Urrutia, Barlovento",737,2011,70%,Switzerland,4,Trinitario,Venezuela
L.A. Burdick (Felchlin),Chuao,927,2012,68%,U.S.A.,3.75,Trinitario,Venezuela
L'Amourette,Carenero Superior,833,2012,75%,U.S.A.,3,Trinitario,Venezuela
L'Amourette,Rio Caribe,833,2012,75%,U.S.A.,3,Trinitario,Venezuela
Mast Brothers,Chuao,999,2012,73%,U.S.A.,2.75,Trinitario,Venezuela
Mast Brothers,"Chuao, Med. Roast",701,2011,76%,U.S.A.,3,Trinitario,Venezuela
Mast Brothers,"Chuao, Dark Roast",709,2011,70%,U.S.A.,3,Trinitario,Venezuela
Mast Brothers,"Chuao, Light Roast",713,2011,81%,U.S.A.,2.75,Trinitario,Venezuela
Michel Cluizel,"Carenero Superior, Concepcion",117,2007,66%,France,3.5,Trinitario,Venezuela
Na�ve,Chuao,1399,2014,75%,Lithuania,2.75,Trinitario,Venezuela
Patric,"Rio Caribe, Paria Penninsula",439,2009,70%,U.S.A.,3.5,Trinitario,Venezuela
Pralus,Chuao,486,2010,75%,France,3.5,Trinitario,Venezuela
